ts_unix,disk_read_bytes_per_s,disk_write_bytes_per_s,disk_read_ops_per_s,disk_write_ops_per_s,disk_usage_percent_c,net_bytes_sent_per_s,net_bytes_recv_per_s,net_packets_sent_per_s,net_packets_recv_per_s
1772970087.9366276,0.0,106485.61624692798,0.0,5.999414977854266,37.6,0.0,0.0,0.0,0.0
1772970088.9365015,16386.066666905117,69640.78333434674,1.0001261393374705,2.000252278674941,37.6,0.0,0.0,0.0,0.0
1772970089.9363346,0.0,65546.93932569695,0.0,1.0001669208632957,37.6,7543.258917150975,6440.074803438761,15.002503812949435,16.00267073381273
1772970090.9364784,0.0,8190.822434919296,0.0,1.9997125085252188,37.6,54.992093984443514,65.99051278133221,0.9998562542626094,0.9998562542626094
1772970091.9366398,0.0,81906.77947766629,0.0,3.999354466682924,37.6,0.0,0.0,0.0,0.0
1772970092.9364882,0.0,4096.621187943347,0.0,1.0001516572127311,37.6,0.0,0.0,0.0,0.0
1772970093.9365675,16382.69932201523,122870.24491511422,0.9999206129159687,10.999126742075655,37.6,4694.627277640473,7211.427460349966,18.998491645403405,21.99825348415131
1772970094.9365823,0.0,8191.878908039976,0.0,1.9999704365331972,37.6,138.9979453390572,945.9860164802022,1.9999704365331972,5.999911309599591
1772970095.9367633,0.0,12285.776769502627,0.0,1.9996381460779016,37.6,0.0,0.0,0.0,0.0
1772970096.9364767,0.0,618673.2988570275,0.0,24.006879870797324,37.6,55.015766370577204,66.01891964469264,1.0002866612832217,1.0002866612832217
1772970097.9366052,0.0,0.0,0.0,0.0,37.6,426.9451342994243,0.0,4.9993575444897465,0.0
1772970098.9364438,0.0,126996.49842582566,0.0,6.000968612611469,37.6,655.1057402100854,112.01808076874744,9.001452918917204,2.00032287087049
1772970099.9364395,0.0,135168.58008061443,0.0,2.000008583105682,37.6,427.0018324930632,0.0,5.0000214577642055,0.0
1772970100.9364548,3526602.188321101,409593.750095366,63.999023452400934,71.99890138395105,37.6,426.99348459648746,0.0,4.999923707218823,0.0
1772970101.9365923,0.0,73717.8588169724,0.0,2.9995873542062337,37.6,0.0,0.0,0.0,0.0
1772970102.9365404,0.0,356370.52244708384,0.0,63.003274610964105,37.6,0.0,0.0,0.0,0.0
1772970103.9365256,0.0,4096.060547770015,0.0,1.0000147821704137,37.6,0.0,0.0,0.0,0.0
1772970104.9365795,227528732.16059202,0.0,371.9799567532,0.0,37.6,43492278.5230021,0.0,110.99401935377742,0.0
1772970105.9365873,217577808.1384686,4095.9677736910508,354.99720694832104,0.9999921322487917,37.6,41807811.06395599,0.0,18.99985051272704,0.0
1772970106.9363883,220769198.624669,118807.65216959993,361.071882014628,4.000796476616377,37.6,40839554.31860734,0.0,20.003982383081883,0.0
1772970107.9365158,206543126.61045823,4095.4776056959518,333.95740241758983,0.9998724623281132,37.6,46151699.16894165,89.98852160953018,20.997321708890375,0.9998724623281132
1772970108.93679,213326725.7869265,65518.03617534598,353.9029664012524,0.9997258937888486,37.6,45168395.667577334,0.0,20.99424376956582,0.0
1772970109.936579,208710662.04204637,4096.864440209767,338.0713332009036,1.0002110449730877,37.6,41817005.40664503,0.0,20.004220899461753,0.0
1772970110.9364724,223370493.28700334,73735.85825935409,366.03900991378583,3.000319753391687,37.6,43416357.01596883,0.0,151.01609425404826,0.0
1772970111.9367597,214372204.06886697,16379.294320665264,351.89890142054276,2.999138364379626,37.6,41470439.77539221,0.0,28.991670855669717,0.0
1772970112.9367814,219671905.97840405,65534.57815584846,376.99182075126447,0.9999783043800119,37.6,33411788.094815105,41.9990887839605,614.9866571937073,0.9999783043800119
1772970113.9366755,221801399.41907457,61446.50459481242,368.0389598126785,12.0012704286743,37.6,47848971.189172745,0.0,53.00561105997816,0.0
1772970114.9365516,216557792.328593,16386.03150186085,353.04376954082517,2.000247986066998,37.6,43525649.20818812,66.00818354021094,218.0270304813028,1.000123993033499
1772970115.936644,228113810.010663,65529.938060768225,378.96494331407405,0.9999075021479527,37.6,43490436.85587404,0.0,252.97659804343203,0.0
1772970116.9365423,226596380.58408675,208917.26876682363,377.03838429214784,6.000610890591212,37.6,43498888.39273064,0.0,114.01160692123302,0.0
1772970117.9367013,226366306.0546583,86002.32346397627,394.9371950366284,6.998887000649111,37.6,43487599.376148246,65.98950600612018,185.9704260172478,0.99984100009273
1772970118.9366474,225488757.92029428,196618.59432084954,375.02020706338794,23.00123936655446,37.6,43496803.72082732,0.0,82.00441861119417,0.0
1772970119.9367716,228684041.7648393,65527.86038607093,380.95267955159034,0.9998757993480062,37.6,43489057.95970988,0.0,91.98857354001657,0.0
1772970120.9363487,231308841.12896794,69661.46363365318,381.16121387324597,2.00084626705116,37.6,43512972.00990142,225.0952050432555,128.05416109127424,3.00126940057674
1772970121.936908,223745828.24888995,73686.78477166311,366.7948406467063,3.9977639307542923,37.6,43473816.790638246,200.8876375204032,93.94745237272586,2.998322948065719
1772970122.9367335,224434432.83583924,20483.574842640115,371.06475911227943,4.000698211453148,37.6,43502141.098065324,207.0361324427004,46.0080294317112,2.000349105726574
1772970123.9369066,224356429.72189853,0.0,368.93614014679275,0.0,37.6,40497576.198059134,0.0,82.98563585957669,0.0
1772970124.9367282,191859111.59702745,151579.03216458776,415.0740230963888,3.000535106720883,37.6,42145925.181954406,261.0465542847168,87.01551809490562,3.000535106720883
1772970125.936321,193777725.95882455,340106.49780517846,384.15643577392143,11.004481233107125,37.6,43380737.45762482,0.0,90.03666463451285,0.0
1772970126.9367433,186043685.04398993,16377.08495105545,356.8493241898679,3.998311755628772,37.6,45037789.27522125,449.8100725082369,64.97256602896755,5.997467633443158
1772970127.9366322,205234962.231884,110604.28847466211,892.0991149395852,17.00188896185308,37.6,37721996.02910747,78.00866700144354,64.00711138579983,1.0001111154031224
1772970128.9366899,191411932.04907134,1556390.2004936887,616.964402822141,55.996769137828025,37.6,47846640.37822067,283.9836149132707,178.98967277984315,2.9998269180979302
1772970129.9367535,201345518.79516262,4767440.515412899,715.9544239446656,57.99630808490308,37.6,45018923.1961638,86991.46231831575,117.99248886238902,81.99478039589746
1772970130.9365852,217225428.1480142,1381608.557211254,897.1510116134165,90.01515166689798,37.6,43603470.48949947,32576.483388250377,114.0191921114041,74.01245803722722
1772970131.936728,193427992.0206174,7838624.5446381,706.8990458182227,254.96358795423876,37.6,43625341.74589687,128684.62219793878,119.98286491964177,142.97958069590644
1772970132.9365456,183302808.63831335,1814859.0125218818,408.0744287819906,110.02006658337982,37.6,41778977.07652844,25356.62480019859,50.009121174263555,31.0056551280434
1772970133.9368556,180864774.02083895,745241.0169043599,482.8503433593828,53.98326820167013,37.6,43480983.323459506,0.0,29.990704556483404,0.0
1772970134.9364672,174131245.76631007,163903.6575360599,332.12899354230893,14.00543948672387,37.6,44064859.080295995,6282.439998330421,50.019426738299536,8.003108278127925
1772970135.9364502,188779643.60878187,614410.4005666829,361.0061110100464,61.001032608345795,37.6,43504015.42375352,20159.341251666276,76.00128652843082,33.00055862418707
1772970136.9472625,168052283.2285012,186400.5842137118,324.49150614649216,41.55074164070936,37.6,43029215.95862304,0.0,41.55074164070936,0.0
1772970137.9366312,188850870.5776385,1043283.4835488623,413.3949350232173,216.2995503544462,37.6,43961832.43415629,0.0,32.34385799692654,0.0
1772970138.9367905,181083991.90958318,249816.2133678127,351.9439481360066,38.99378970825074,37.6,43513267.91983165,0.0,45.99267504050086,0.0
1772970139.936555,178910367.68898314,221236.1138383084,344.0810508914663,28.00659716558447,37.6,43504762.87562397,66.01555046173482,70.01649291396117,1.0002356130565881
1772970140.936573,186790599.3894535,307194.43369461043,358.99349510535524,53.99902154788074,37.6,43493833.89990606,449.99184623233947,91.9983330075005,5.99989128309786
1772970141.9366167,176431598.1835166,561127.5176697413,349.98472995624974,67.99703324864281,37.6,43492689.38786746,53.997644050392815,99.99563713035707,0.9999563713035706
1772970142.9365597,182986938.96914998,65539.73458780443,349.0198878653526,1.0000569852875432,37.6,43496938.54430964,0.0,93.00529963174152,0.0
1772970143.9363842,183610843.30996802,233512.97594029715,354.06212943250233,37.006493754244595,37.6,43502095.57695213,142.02492197574952,48.008424329830824,1.0001755068714755
1772970144.9366271,180835426.29862827,167895.21010515757,344.91620311475424,22.994413540983615,37.6,42411007.30802944,285.93053359657887,45.98882708196723,2.9992713314326456
1772970145.9368672,175190450.96100098,278461.1449573107,346.91670963130025,27.993279163332588,37.6,44556912.44187618,367.9116690037997,30.99255907368965,3.999039880476084
1772970146.9367383,175134781.6637154,69640.98260392874,334.04308636420325,2.000258002180858,37.6,42478265.03570755,0.0,29.003741031622436,0.0
1772970147.936462,169981818.5886231,143399.62520733246,325.08983114106474,23.006357280752276,37.6,44528438.41573235,368.1017164920364,31.008568508840025,4.001105614043874
1772970148.9366262,189271692.26321378,647061.7069139329,364.94005115145603,44.99260904606992,37.6,42856357.96889101,0.0,36.99392299343527,0.0
1772970149.9366493,176680969.969496,0.0,336.9922065153046,0.0,37.6,44124501.55020657,0.0,68.99840430135316,0.0
1772970150.9363327,176216561.66538325,245837.8371447869,340.1076848520001,22.006967843364713,37.6,43508236.57234003,3531.1180221398836,31.009818324741186,5.001583600764707
